  ,\texttt{i [},\texttt{i} ,\texttt{not},\texttt{-} ,\texttt{if},\texttt{else},\texttt{while},\texttt{end},\texttt{return},\texttt{function},\texttt{(} ,\texttt{)} ,"\texttt{,}",\texttt{EOL},\texttt{\$}
P ,   ,2 ,   ,  ,2 ,    ,2    ,   ,2     ,2       ,  ,  ,   ,2  ,1
S ,   ,3 ,   ,  ,3 ,    ,3    ,   ,3     ,12      ,  ,  ,   ,3  ,18
P',   ,5 ,   ,  ,5 ,4   ,5    ,4  ,5     ,        ,  ,  ,   ,5  ,
S',   ,6 ,   ,  ,9 ,    ,10   ,   ,11    ,        ,  ,  ,   ,17 ,
L ,   ,14,14 ,14,  ,    ,     ,   ,      ,        ,14,13,13 ,   ,
E',   ,15,15 ,15,  ,    ,     ,   ,      ,        ,15,16,16 ,   ,
A ,8  ,7 ,7  ,7 ,  ,    ,     ,   ,      ,        ,7 ,  ,   ,   ,
